** CONVERTED FROM C:\Users\hanzh\Desktop\Pupillometry Demo\data\_Forced_Response_scene_contrast_2022_Jul_26_1425.EDF using edfapi 4.2.1 Win32  EyeLink Dataviewer Sub ComponentApr 12 2021 on Tue Jul 26 14:36:36 2022
** DATE: Tue Jul 26 14:22:21 2022
** TYPE: EDF_FILE BINARY EVENT SAMPLE TAGGED
** VERSION: EYELINK II 1
** SOURCE: EYELINK CL
** EYELINK II CL v4.594 Jul  6 2012
** CAMERA: EyeLink CL Version 1.4 Sensor=BHF
** SERIAL NUMBER: CL1-76M08
** CAMERA_CONFIG: 76M08140.SCD
**

MSG	524982 NO Reply is disabled for function eyelink_cal_result
MSG	525033 RECCFG CR 500 2 0 R
MSG	525033 ELCLCFG MTABLE
MSG	525033 GAZE_COORDS 0.00 0.00 1600.00 1200.00
MSG	525033 THRESHOLDS R 54 195
MSG	525033 ELCL_PROC ELLIPSE  (5)
MSG	525033 ELCL_EFIT_PARAMS 1.01 4.00  0.15 0.05  0.65 0.65  0.00 0.00 0.30
START	525034 	RIGHT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	DIAMETER
EVENTS	GAZE	RIGHT	RATE	 500.00	TRACKING	CR	FILTER	2
SAMPLES	GAZE	RIGHT	RATE	 500.00	TRACKING	CR	FILTER	2
MSG	525034 !MODE RECORD CR 500 2 0 R
525346	  779.0	  621.6	 7821.0	...
525348	  779.4	  621.5	 7817.0	...
525350	  779.7	  621.2	 7809.0	...
525352	  779.7	  621.1	 7802.0	...
525354	  779.2	  621.3	 7790.0	...
525356	  778.9	  621.7	 7784.0	...
525358	  779.1	  622.0	 7773.0	...
525360	  779.2	  622.3	 7767.0	...
525362	  779.1	  622.8	 7760.0	...
525364	  778.9	  623.3	 7754.0	...
525366	  778.7	  623.6	 7743.0	...
525368	  778.8	  624.0	 7731.0	...
525370	  778.8	  624.1	 7724.0	...
525372	  778.8	  624.3	 7719.0	...
525374	  778.8	  624.0	 7714.0	...
525376	  778.8	  623.3	 7709.0	...
525378	  778.8	  622.7	 7704.0	...
525380	  778.8	  622.2	 7702.0	...
525382	  778.6	  622.2	 7692.0	...
525384	  778.2	  622.1	 7682.0	...
525386	  777.9	  622.3	 7672.0	...
525388	  777.8	  623.1	 7666.0	...
525390	  777.9	  624.0	 7656.0	...
525392	  778.1	  624.5	 7643.0	...
525394	  778.3	  623.8	 7637.0	...
525396	  778.4	  623.0	 7634.0	...
525398	  778.5	  623.2	 7633.0	...
525400	  778.5	  624.2	 7624.0	...
525402	  778.5	  625.2	 7614.0	...
525404	  778.4	  625.1	 7603.0	...
525406	  778.2	  624.9	 7601.0	...
525408	  778.1	  624.7	 7594.0	...
525410	  778.0	  624.8	 7585.0	...
525412	  777.9	  625.0	 7573.0	...
525414	  777.8	  625.1	 7568.0	...
525416	  777.8	  624.4	 7564.0	...
525418	  777.7	  624.0	 7557.0	...
525420	  777.8	  623.7	 7549.0	...
525422	  777.8	  623.9	 7539.0	...
525424	  777.5	  624.0	 7533.0	...
525426	  777.1	  624.4	 7528.0	...
525428	  776.8	  624.9	 7524.0	...
525430	  776.9	  625.3	 7520.0	...
525432	  777.0	  625.5	 7507.0	...
525434	  777.0	  625.9	 7496.0	...
525436	  777.0	  626.5	 7487.0	...
525438	  776.9	  626.7	 7487.0	...
525440	  776.9	  626.8	 7476.0	...
525442	  776.8	  626.3	 7466.0	...
525444	  776.7	  626.1	 7448.0	...
525446	  776.6	  625.9	 7441.0	...
525448	  776.7	  626.3	 7433.0	...
525450	  776.7	  626.7	 7431.0	...
525452	  776.9	  627.2	 7428.0	...
525454	  777.1	  627.2	 7423.0	...
525456	  777.4	  627.3	 7417.0	...
525458	  777.3	  627.0	 7405.0	...
525460	  777.3	  626.5	 7396.0	...
525462	  777.1	  626.1	 7387.0	...
525464	  777.2	  626.0	 7382.0	...
525466	  777.2	  626.4	 7376.0	...
525468	  777.2	  626.7	 7370.0	...
525470	  777.1	  626.8	 7366.0	...
525472	  776.9	  626.7	 7363.0	...
525474	  776.5	  626.6	 7361.0	...
525476	  776.1	  626.6	 7356.0	...
525478	  776.0	  626.5	 7345.0	...
525480	  776.1	  626.8	 7335.0	...
525482	  776.2	  627.0	 7328.0	...
525484	  776.4	  627.2	 7325.0	...
